Designator,Mid X,Mid Y,Rotation,Layer
D1,174.82875,-172.444232,90.0,top
D10,212.92875,-210.544232,90.0,top
D11,189.11625,-229.594232,90.0,top
D12,231.97875,-172.444232,90.0,top
D13,231.97875,-191.494232,90.0,top
D14,231.97875,-210.544232,90.0,top
D15,251.02875,-172.444232,90.0,top
D16,251.02875,-191.494232,90.0,top
D17,251.02875,-210.544232,90.0,top
D18,260.55375,-229.594232,90.0,top
D19,270.07875,-172.444232,90.0,top
D2,174.82875,-191.494232,90.0,top
D20,270.07875,-191.494232,90.0,top
D21,270.07875,-210.544232,90.0,top
D22,289.12875,-172.444232,90.0,top
D23,289.12875,-191.494232,90.0,top
D24,289.12875,-210.544232,90.0,top
D25,327.22875,-229.594232,90.0,top
D26,308.17875,-172.444232,90.0,top
D27,308.17875,-191.494232,90.0,top
D28,308.17875,-210.544232,90.0,top
D29,341.00125,-219.14,0.0,top
D3,174.82875,-210.544232,90.0,top
D30,327.22875,-172.444232,90.0,top
D31,327.22875,-191.494232,90.0,top
D32,327.22875,-210.544232,90.0,top
D33,340.56375,-181.016732,0.0,top
D34,340.56375,-200.066732,0.0,top
D35,330.07875,-219.131732,0.0,top
D4,192.86625,-172.444232,90.0,top
D5,193.01625,-191.494232,90.0,top
D6,193.87875,-210.544232,90.0,top
D7,170.06625,-229.594232,90.0,top
D8,213.81625,-172.444232,90.0,top
D9,213.81625,-191.494232,90.0,top
S1,162.9225,-171.491732,0.0,top
S10,203.40375,-209.591732,0.0,top
S11,179.59125,-228.641732,0.0,top
S12,222.45375,-171.491732,0.0,top
S13,222.45375,-190.541732,0.0,top
S14,222.45375,-209.591732,0.0,top
S15,241.50375,-171.491732,0.0,top
S16,241.50375,-190.541732,0.0,top
S17,241.50375,-209.591732,0.0,top
S18,248.6475,-228.641732,0.0,top
S19,260.55375,-171.491732,0.0,top
S2,162.9225,-190.541732,0.0,top
S20,260.55375,-190.541732,0.0,top
S21,260.55375,-209.591732,0.0,top
S22,279.60375,-171.491732,0.0,top
S23,279.60375,-190.541732,0.0,top
S24,279.60375,-209.591732,0.0,top
S25,317.70375,-228.641732,0.0,top
S26,298.65375,-171.491732,0.0,top
S27,298.65375,-190.541732,0.0,top
S28,298.65375,-209.591732,0.0,top
S29,336.75375,-228.641732,0.0,top
S3,162.9225,-209.591732,0.0,top
S30,317.70375,-171.491732,0.0,top
S31,317.70375,-190.541732,0.0,top
S32,317.70375,-209.591732,0.0,top
S33,336.75375,-171.491732,0.0,top
S34,336.75375,-190.541732,0.0,top
S35,336.75375,-209.591732,0.0,top
S4,184.35375,-171.491732,0.0,top
S5,184.35375,-190.541732,0.0,top
S6,184.35375,-209.591732,0.0,top
S7,160.54125,-228.641732,0.0,top
S8,203.40375,-171.491732,0.0,top
S9,203.40375,-190.541732,0.0,top
U1,203.43625,-181.526732,0.0,bottom
